Résultats de test
%INH_W = 1.0 * volt * 25.0 * 5
%COEF_REF3 = 0.5

learnST_US_testIW5
Nb images souriantes : 953
Nb images non souriantes : 0

Image 0 (happy):
Neurone 0: 2
Neurone 1: 0

Image 1 (happy):
Neurone 0: 2
Neurone 1: 0

Image 2 (happy):
Neurone 0: 2
Neurone 1: 0

Image 3 (happy):
Neurone 0: 2
Neurone 1: 0

Image 4 (happy):
Neurone 0: 1
Neurone 1: 0

Image 5 (happy):
Neurone 0: 2
Neurone 1: 0

Image 6 (happy):
Neurone 0: 2
Neurone 1: 0

Image 7 (happy):
Neurone 0: 2
Neurone 1: 0

Image 8 (happy):
Neurone 0: 1
Neurone 1: 0

Image 9 (happy):
Neurone 0: 2
Neurone 1: 0

Image 10 (happy):
Neurone 0: 2
Neurone 1: 0

Image 11 (happy):
Neurone 0: 2
Neurone 1: 0

Image 12 (happy):
Neurone 0: 2
Neurone 1: 0

Image 13 (happy):
Neurone 0: 2
Neurone 1: 0

Image 14 (happy):
Neurone 0: 1
Neurone 1: 0

Image 15 (happy):
Neurone 0: 0
Neurone 1: 2

Image 16 (happy):
Neurone 0: 0
Neurone 1: 2

Image 17 (happy):
Neurone 0: 0
Neurone 1: 2

Image 18 (happy):
Neurone 0: 0
Neurone 1: 2

Image 19 (happy):
Neurone 0: 0
Neurone 1: 2

Image 20 (happy):
Neurone 0: 0
Neurone 1: 2

Image 21 (happy):
Neurone 0: 1
Neurone 1: 0

Image 22 (happy):
Neurone 0: 1
Neurone 1: 0

Image 23 (happy):
Neurone 0: 0
Neurone 1: 2

Image 24 (happy):
Neurone 0: 0
Neurone 1: 2

Image 25 (happy):
Neurone 0: 0
Neurone 1: 2

Image 26 (happy):
Neurone 0: 0
Neurone 1: 2

Image 27 (happy):
Neurone 0: 0
Neurone 1: 2

Image 28 (happy):
Neurone 0: 0
Neurone 1: 2

Image 29 (happy):
Neurone 0: 0
Neurone 1: 1

Image 30 (happy):
Neurone 0: 0
Neurone 1: 2

Image 31 (happy):
Neurone 0: 0
Neurone 1: 2

Image 32 (happy):
Neurone 0: 0
Neurone 1: 2

Image 33 (happy):
Neurone 0: 0
Neurone 1: 2

Image 34 (happy):
Neurone 0: 0
Neurone 1: 2

Image 35 (happy):
Neurone 0: 0
Neurone 1: 2

Image 36 (happy):
Neurone 0: 0
Neurone 1: 2

Image 37 (happy):
Neurone 0: 0
Neurone 1: 2

Image 38 (happy):
Neurone 0: 0
Neurone 1: 2

Image 39 (happy):
Neurone 0: 0
Neurone 1: 2

Image 40 (happy):
Neurone 0: 0
Neurone 1: 2

Image 41 (happy):
Neurone 0: 0
Neurone 1: 2

Image 42 (happy):
Neurone 0: 0
Neurone 1: 2

Image 43 (happy):
Neurone 0: 0
Neurone 1: 2

Image 44 (happy):
Neurone 0: 0
Neurone 1: 2

Image 45 (happy):
Neurone 0: 0
Neurone 1: 2

Image 46 (happy):
Neurone 0: 0
Neurone 1: 2

Image 47 (happy):
Neurone 0: 0
Neurone 1: 2

Image 48 (happy):
Neurone 0: 0
Neurone 1: 2

Image 49 (happy):
Neurone 0: 0
Neurone 1: 2

Image 50 (happy):
Neurone 0: 0
Neurone 1: 2

Image 51 (happy):
Neurone 0: 0
Neurone 1: 2

Image 52 (happy):
Neurone 0: 0
Neurone 1: 2

Image 53 (happy):
Neurone 0: 0
Neurone 1: 2

Image 54 (happy):
